dataset,feature,pearson_mean_abs,pearson_max_abs,spearman_mean_abs,spearman_max_abs,rf_importance_raw,rf_importance_norm,redundancy_mean_abs,redundancy_max_abs,high_redundancy,spearman_pearson_gap,possible_nonlinear_relation,correlation_strength,physical_score,redundancy_penalty,dp_fsm_score,feature_level,selection_decision,rank
microreactor,theta6,0.20081170335094017,0.3611168329168212,0.19967650422775324,0.3598628132867577,0.15167176852106368,1.0,0.01859342388261449,0.037646126482885164,False,0.0011351991231869363,True,0.2002441037893467,1.0,0.01859342388261449,0.6582138887485426,core,keep_core,1
microreactor,theta4,0.12124097234174516,0.1759497890280447,0.12410074489456223,0.17618923945918596,0.1438176467239777,0.9482163234880774,0.02002473075394959,0.057375069557432726,False,0.0028597725528170664,True,0.12267085861815369,1.0,0.02002473075394959,0.6192636815564744,candidate,keep_candidate,2
microreactor,theta7,0.18222333633710955,0.3169856498697361,0.1820402000750443,0.30973158741376455,0.12538023179742985,0.8266550394974623,0.02741412922152497,0.07046016827765328,False,0.0001831362620652588,True,0.1821317682060769,1.0,0.02741412922152497,0.5998946293889093,candidate,keep_candidate,3
microreactor,theta3,0.1478929866983596,0.26730274625389006,0.15084021225040467,0.2722437639001329,0.12656761793294444,0.834483695727245,0.03239793167648987,0.08938736776436157,False,0.002947225552045074,True,0.14936659947438213,1.0,0.03239793167648987,0.5919152953928392,candidate,keep_candidate,4
microreactor,theta1,0.11838035306044074,0.19921313846170574,0.11119144553371,0.182940265897132,0.11634409447514459,0.7670781161820969,0.029907931471671638,0.0703293019209037,False,0.007188907526730737,True,0.11478589929707537,1.0,0.029907931471671638,0.5615684114965844,candidate,keep_candidate,5
microreactor,theta5,0.08450748877899115,0.1576326927630975,0.08118409132883098,0.16837177591255562,0.11911127884445832,0.7853226741265072,0.0213868105009753,0.057375069557432726,False,0.0033233974501601787,True,0.08284579005391107,1.0,0.0213868105009753,0.558311858204028,candidate,keep_candidate,6
microreactor,theta2,0.1370945701282575,0.3053443578224732,0.12642424355812545,0.28299387545085786,0.10953150004837506,0.7221614221051539,0.026460706292634018,0.07046016827765328,False,0.010670326570132033,True,0.13175940684319148,1.0,0.026460706292634018,0.5535301780552403,candidate,keep_candidate,7
microreactor,theta8,0.07871463424723846,0.1265840419366766,0.07223563529146343,0.11751137888901927,0.10757586165660638,0.7092675367708038,0.0354590091909084,0.08938736776436157,False,0.006478998955775028,True,0.07547513476935094,1.0,0.0354590091909084,0.5318769005429556,candidate,keep_candidate,8
